Set,Qty,Name,Text,Type,Faction / Color,Cost,Defense,Role
1st Kickstarter Promo Pack,2,Afterlife,"{Gain 2 gold}
<hr>
{Necros Ally}: You may put a champion from your discard pile on top of your deck.",Action,Necros,3.0,,Market Deck
1st Kickstarter Promo Pack,1,Crime Spree,"{Gain 5 gold} {Gain 5 combat}
<hr>
{Guild Ally}: Put a card from your discard pile on top of your deck.
<hr>
{Sacrifice}: Stun target champion.",Action ◆ Rogue,Guild,7.0,,Market Deck
1st Kickstarter Promo Pack,2,Devotion,"{Gain 4 health}
Gain {1 gold} for each champion you have in play.
<hr>
{Imperial Ally}: Draw a card.",Action,Imperial,3.0,,Market Deck
1st Kickstarter Promo Pack,1,Dragon Fire,"{Gain 7 combat}
Draw a card.
<hr>
{Sacrifice}: Deal four damage to target player and to each of their champions. <i>(Guards do not protect against this.)</i>",Action ◆ Dragon,Imperial,7.0,,Market Deck
1st Kickstarter Promo Pack,1,"Mobia, Elf Lord","{Expend}: {Gain 3 gold}
Draw a card.",Champion ◆ Elf Mage,Wild,7.0,6 Guard,Market Deck
1st Kickstarter Promo Pack,2,Raiding Party,"{Gain 2 gold} {Gain 4 combat}
Target opponent discards a card.",Action ◆ Orc,Wild,3.0,,Market Deck
1st Kickstarter Promo Pack,2,Robbery,"{Gain 1 gold}
Draw a card.
<hr>
{Guild Ally}: {Gain 2 combat}",Action ◆ Rogue,Guild,2.0,,Market Deck
1st Kickstarter Promo Pack,1,The Summoning,"{Gain 4 gold}
You may put the next champion you acquire this turn on top of your deck.
<hr>
{Necros Ally}: Draw a card.",Action,Necros,7.0,,Market Deck
1st Kickstarter Promo Pack,1,"Bjorn, the Centurion","{Expend}: {Gain 3 combat}
<i>or</i>
Put a Legionnaire token into play.",Champion ◆ Human Warrior,Imperial,5.0,4 Guard,Market Deck
1st Kickstarter Promo Pack,1,Bloodfang,"{Expend}: {Gain 2 gold}
<i>or</i>
Discard a card. If you do, gain {6 combat}.",Champion ◆ Werewolf,Wild,5.0,5,Market Deck
1st Kickstarter Promo Pack,1,"Droga, Guild Enforcer","{Expend}: {Gain 1 gold}
<i>or</i>
Stun target champion that’s been damaged this turn.",Champion ◆ Human Rogue,Guild,3.0,3,Market Deck
1st Kickstarter Promo Pack,1,"Galok, the Vile","{Expend}: {Gain 1 combat}
You may sacrifice a card in your hand or discard pile. If you do, gain an additional {1 combat}.",Champion ◆ Vampire,Necros,3.0,2,Market Deck
1st Kickstarter Promo Pack,1,"Gorg, Orc Shaman","{Expend}: Draw a card, then discard a card.
<hr>
{Wild Ally}: {Gain 3 combat}",Champion ◆ Orc Priest,Wild,3.0,3,Market Deck
1st Kickstarter Promo Pack,1,"Kasha, the Awakener",{Expend}: Put a Zombie token into play.,Champion ◆ Human Necromancer,Necros,3.0,3,Market Deck
1st Kickstarter Promo Pack,1,"Ren, Bounty Hunter","{Expend}: {Gain 2 combat}
<i>or</i>
Stun target champion of cost four or less.
<hr>
{Guild Ally}: If you’ve stunned a champion this turn, gain {3 gold}.",Champion ◆ Human Warrior,Guild,4.0,4,Market Deck
1st Kickstarter Promo Pack,1,"Valius, Fire Dragon","{Expend}: Deal three damage to target player and to each of their champions. <i>(Guards do not protect against this.)</i>
<hr>
{Imperial Ally}: {Gain 4 combat}",Champion ◆ Dragon,Imperial,7.0,6,Market Deck
1st Kickstarter Promo Pack,1,Bag of Holding,"Draw a card.
At the end of turn, when you draw a new hand of cards, draw an additional card.
<hr>
When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",Item ◆ Magic Satchel,,,,Thief Personal Deck
1st Kickstarter Promo Pack,1,Blade of Conquest,"{Gain 3 combat}
Draw a card.
Each time you stun a champion this turn, gain {2 health}.
<hr>
When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",Item ◆ Magic Weapon ◆ Sword,,,,Fighter Personal Deck
1st Kickstarter Promo Pack,1,Book of Secrets,"You may acquire an action or item of cost three or less without paying its cost.
Draw a card.
<hr>
When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",Item ◆ Magic Book,,,,Wizard Personal Deck
1st Kickstarter Promo Pack,1,Starsoul Amulet,"{Gain 1 gold}
Gain {2 combat} for each champion you have in play.
Draw a card.
<hr>
When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",Item ◆ Magic Jewelry,,,,Cleric Personal Deck
1st Kickstarter Promo Pack,1,Stone of Seeking,"Look at the top three cards of your deck. Put one into your hand and the rest on top of your deck in any order.
<hr>
When playing with this treasure card, shuffle it into your personal deck at the beginning of the game.",Item ◆ Magic Gem,,,,Ranger Personal Deck
1st Kickstarter Promo Pack,8,Legionnaire | Zombie,"{Expend}: {Gain 1 combat}
<hr>
If this token would leave play, put it back in the token pile. <i>(It can never go into your discard pile, hand, or deck.)</i>
|
{Expend}: {Gain 2 combat}
<hr>
If this token would leave play, put it back in the token pile. <i>(It can never go into your discard pile, hand, or deck.)</i>",Champion ◆ Token ◆ Human Warrior | Champion ◆ Token ◆ Zombie,Imperial | Necros,,2 Guard | 1,Token
Base Set,1,"Arkus, Imperial Dragon","{Expend}: {Gain 5 combat} Draw a card.
<hr>
{Imperial Ally}: {Gain 6 health}",Champion ◆ Dragon,Imperial,8.0,6 Guard,Market Deck
Base Set,1,Close Ranks,"{Gain 5 combat}
+{2 combat} for each champion you have in play.
<hr>
{Imperial Ally}: {Gain 6 health}",Action,Imperial,3.0,,Market Deck
Base Set,1,Command,"{Gain 2 gold} {Gain 3 combat} {Gain 4 health}
Draw a card.",Action,Imperial,5.0,,Market Deck
Base Set,1,"Darian, War Mage",{Expend}: {Gain 3 combat} <i>or</i> {Gain 4 health},Champion ◆ Human Mage,Imperial,4.0,5,Market Deck
Base Set,1,Domination,"{Gain 6 combat} {Gain 6 health}
Draw a card.
<hr>
{Imperial Ally}: Prepare a champion.",Action,Imperial,7.0,,Market Deck
Base Set,1,"Cristov, the Just","{Expend}: {Gain 2 combat} {Gain 3 health}
<hr>
{Imperial Ally}: Draw a card.",Champion ◆ Human Paladin,Imperial,5.0,5 Guard,Market Deck
Base Set,1,"Kraka, High Priest","{Expend}: {Gain 2 health}
Draw a card.
<hr>
{Imperial Ally}: Gain {2 health} for each champion you have in play.",Champion ◆ Human Priest,Imperial,6.0,6,Market Deck
Base Set,2,Man-at-Arms,{Expend}: {Gain 2 combat} +{1 combat} for each other guard you have in play.,Champion ◆ Human Warrior,Imperial,3.0,4 Guard,Market Deck
Base Set,1,Master Weyan,{Expend}: {Gain 3 combat} +{1 combat} for each other champion you have in play.,Champion ◆ Human Monk,Imperial,4.0,4 Guard,Market Deck
Base Set,1,Rally the Troops,"{Gain 5 combat} {Gain 5 health}
<hr>
{Imperial Ally}: Prepare a champion.",Action,Imperial,4.0,,Market Deck
Base Set,3,Recruit,"{Gain 2 gold} {Gain 3 health}
+{1 health} for each champion you have in play.
<hr>
{Imperial Ally}: {Gain 1 gold}",Action,Imperial,2.0,,Market Deck
Base Set,2,Tithe Priest,"{Expend}: {Gain 1 gold}
<i>or</i>
Gain {1 health} for each champion you have in play.",Champion ◆ Human Priest,Imperial,2.0,3,Market Deck
